# BRDF Data for aluminum in visible spectrum
#
# Data from "A Data-Driven Reflectance Model", 
#   Wojciech Matusik, Hanspeter Pfister, Matt Brand 
#   and Leonard McMillan, ACM Transactions on 
#   Graphics 22, 3(2003), 759-769.
#
# phi_in     theta_in     phi_out     theta_out     brdf
22.500000     180.000000     40.781250     0.000000     0.051932
22.500000     180.000000     41.484375     0.000000     0.046761
22.500000     180.000000     42.187500     0.000000     0.047040
22.500000     180.000000     42.890625     0.000000     0.042212
22.500000     180.000000     43.593750     0.000000     0.042560
22.500000     180.000000     44.296875     0.000000     0.037688
22.500000     180.000000     45.000000     0.000000     0.037688
22.500000     180.000000     45.703125     0.000000     0.033511
22.500000     180.000000     46.406250     0.000000     0.033511
22.500000     180.000000     47.109375     0.000000     0.030034
22.500000     180.000000     47.812500     0.000000     0.030699
22.500000     180.000000     48.515625     0.000000     0.027916
22.500000     180.000000     49.218750     0.000000     0.027916
22.500000     180.000000     49.921875     0.000000     0.026436
22.500000     180.000000     50.625000     0.000000     0.026436
22.500000     180.000000     51.328125     0.000000     0.024728
22.500000     180.000000     52.031250     0.000000     0.025147
22.500000     180.000000     52.734375     0.000000     0.025147
22.500000     180.000000     53.437500     0.000000     0.023564
22.500000     180.000000     54.140625     0.000000     0.024656
22.500000     180.000000     54.843750     0.000000     0.023695
22.500000     180.000000     55.546875     0.000000     0.024302
22.500000     180.000000     56.250000     0.000000     0.024302
22.500000     180.000000     56.953125     0.000000     0.022063
22.500000     180.000000     57.656250     0.000000     0.022508
22.500000     180.000000     58.359375     0.000000     0.021388
22.500000     180.000000     59.062500     0.000000     0.021388
22.500000     180.000000     59.765625     0.000000     0.021722
22.500000     180.000000     60.468750     0.000000     0.020754
22.500000     180.000000     61.171875     0.000000     0.020754
22.500000     180.000000     61.875000     0.000000     0.019948
22.500000     180.000000     62.578125     0.000000     0.019948
22.500000     180.000000     63.281250     0.000000     0.019948
22.500000     180.000000     63.984375     0.000000     0.019919
22.500000     180.000000     64.687500     0.000000     0.019919
22.500000     180.000000     65.390625     0.000000     0.019919
22.500000     180.000000     66.093750     0.000000     0.019623
22.500000     180.000000     66.796875     0.000000     0.019623
22.500000     180.000000     67.500000     0.000000     0.019280
22.500000     180.000000     68.203125     0.000000     0.019280
22.500000     180.000000     68.906250     0.000000     0.019280
22.500000     180.000000     69.609375     0.000000     0.018891
